,before 1900,1900-1929,1930-1949,1950-1966,1967-1975,1976-1982,1983-1990,1991-1995,1996-2002,2003-2006,2007-2011,2012 onwards
solid brick- as built,2.1,2.1,2.1,2.1,1.7,1,0.6,0.6,0.45,0.35,0.3,0.28
solid brick- 50mm insulation,0.6,0.6,0.6,0.6,0.55,0.45,0.35,0.35,0.3,0.25,0.21,0.21
solid brick- 100mm insulation,0.35,0.35,0.35,0.35,0.35,0.32,0.24,0.24,0.21,0.19,0.17,0.16
solid brick- 150mm insulation,0.25,0.25,0.25,0.25,0.25,0.21,0.18,0.18,0.17,0.15,0.14,0.14
solid brick- 200mm insulation,0.18,0.18,0.18,0.18,0.18,0.17,0.15,0.15,0.14,0.13,0.12,0.12
cavity- as built,2.1,1.6,1.6,1.6,1.6,1,0.6,0.6,0.45,0.35,0.3,0.28
unfilled cavity- 50mm insulation,0.6,0.53,0.53,0.53,0.53,0.45,0.35,0.35,0.3,0.25,0.21,0.21
unfilled cavity- 100mm insulation,0.35,0.32,0.32,0.32,0.32,0.3,0.24,0.24,0.21,0.19,0.17,0.16
unfilled cavity- 150mm insulation,0.25,0.23,0.23,0.23,0.23,0.21,0.18,0.18,0.17,0.15,0.14,0.14
unfilled cavity- 200mm insulation,0.18,0.18,0.18,0.18,0.18,0.17,0.15,0.15,0.14,0.13,0.12,0.12
filled cavity,0.5,0.5,0.5,0.5,0.5,0.4,0.35,0.35,0.45,0.35,0.3,0.28
filled cavity- 50mm insulation,0.31,0.31,0.31,0.31,0.31,0.27,0.25,0.25,0.25,0.25,0.21,0.21
filled cavity- 100mm insulation,0.22,0.22,0.22,0.22,0.22,0.2,0.19,0.19,0.19,0.19,0.17,0.16
filled cavity- 150mm insulation,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.15,0.15,0.15,0.14,0.14
filled cavity- 200mm insulation,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12
timber frame- as built,2.5,1.9,1.9,1,0.8,0.45,0.4,0.4,0.4,0.35,0.3,0.28
timber frame- internal insulation,0.6,0.55,0.55,0.4,0.4,0.4,0.4,0.4,0.4,0.35,0.3,0.28
